Years_of_Experience,Salary
1,40000
2.257941982,65979.42119
2.450875461,67253.57549
2.498712905,67342.4351
2.613728784,70532.20448
2.682068429,69119.79132
2.761982614,71063.36476
2.927600575,71356.14382
2.969968153,74265.40359
3.059107388,74804.11404
3.085874899,76663.59809
3.199597371,77482.87902
3.318099991,74702.95446
3.407670304,75118.36278
3.415003131,78817.45633
3.519210275,78968.49772
3.540670744,77982.6304
3.59820132,81352.2287
3.649797525,80571.10736
3.690900642,81285.35909
3.754199504,80752.57642
3.786122301,80519.88855
3.79402365,79605.51595
3.834124297,78724.08387
3.842402283,80236.57673
3.86953051,82629.38966
3.888087195,82411.92045
3.932828179,83092.07593
3.972581632,81723.22559
3.995191495,81781.1931
4.055497287,81047.22386
4.079728933,81505.18362
4.110644702,83007.24597
4.121479288,82348.79137
4.169478935,82132.98634
4.174719611,83803.64844
4.221668278,83243.68324
4.381495559,83749.02898
4.450015013,84995.68217
4.472353742,82909.65157
4.506858684,83037.40699
4.514280029,84309.39609
4.535621868,85363.36357
4.544189503,85700.05359
4.584837186,87258.95727
4.613026946,86028.02856
4.680162715,86705.29411
4.713326251,86300.17771
4.72902506,85603.10377
4.740261504,87484.31323
4.750888886,88092.63073
4.772002487,85679.03898
4.793946379,85131.81763
4.814086019,85482.53617
4.815972448,85295.00194
4.853439366,84151.98728
4.86872377,85971.98705
4.896761654,84549.72268
4.935691445,86431.30577
4.983341016,88774.57642
4.983343981,86452.77799
4.986017566,87855.74017
5.008439447,89092.44486
5.038251759,85340.33537
5.03925268,86855.52314
5.087625411,84006.3171
5.120361395,84815.43758
5.122832242,84825.46836
5.16495505,87762.14734
5.182954071,86024.86102
5.18609645,88452.19881
5.197326327,86003.40679
5.206771388,87897.58068
5.23298738,85889.2273
5.267251927,87143.85764
5.281729099,86777.85583
5.299665353,85248.27576
5.308180255,87136.30178
5.327372348,85981.76341
5.365015206,85547.747
5.371247574,89233.01115
5.376616396,85361.58696
5.383027194,89338.76001
5.385765316,86851.14011
5.395415834,87096.74383
5.435547888,86127.47018
5.450087789,86968.62298
5.454637944,87701.24747
5.457808627,88645.1752
5.487559762,88303.058
5.507083762,87103.72739
5.507731772,86007.00088
5.538834187,86158.85643
5.55066293,86774.57147
5.55171735,86980.23925
5.57491607,87135.0085
5.584214721,88765.51237
5.589386298,87551.37854
5.615800737,88529.68107
5.61903029,87406.62139
5.623370278,87031.25888
5.652790135,88711.01799
5.653918066,87372.5504
5.704457978,89195.9799
5.745846934,88477.03113
5.757474462,88709.9952
5.774977819,88170.85236
5.800203722,89343.3119
5.823115339,87410.55124
5.836073305,87320.52418
5.838423941,89232.20169
5.847411856,86052.09897
5.865611821,87743.37248
5.873454396,88071.92099
5.879345706,86559.10091
5.894967227,87674.58442
5.912860168,85962.72987
5.919354781,87957.41752
5.946970786,85903.6383
5.959734127,88930.00038
5.962898099,88118.56379
5.975174065,88094.47553
5.995458912,86656.47967
6.006454193,87955.41222
6.012098352,88998.25149
6.027301702,88005.30967
6.045524181,89148.67808
6.049300039,88655.0732
6.050822475,88708.54758
6.065898378,88850.29498
